STUDY_ID,valid_name,CEN_LATITUDE,CEN_LONGITUDE,taxon,REALM
702,Aphelocoma woodhouseii,33.6,-112.1,Birds,Terrestrial
754,Aplexa hypnorum,47.1017,-99.11116,Molluscs,Freshwater
644,Aplodinotus grunniens,43.69809,-79.27963,Fish,Freshwater
699,Apodichthys flavidus,48.737685,-125.118645,Fish,Marine
699,Apodichthys fucorum,48.737685,-125.118645,Fish,Marine
579,Ostorhinchus nigrofasciatus,13.401193,144.66287,Fish,Marine
579,Ostorhinchus novemfasciatus,13.401193,144.66287,Fish,Marine
582,Apus apus,59.817,22.9,Birds,Terrestrial
697,Apus apus,46.54,2.26,Birds,Terrestrial
634,Apus apus,62.417468,17.222083,Birds,Terrestrial
582,Apus pallidus,59.817,22.9,Birds,Terrestrial
756,Aquila adalberti,37.67,-8.002,Birds,Terrestrial
582,Aquila chrysaetos,59.817,22.9,Birds,Terrestrial
702,Aquila chrysaetos,33.6,-112.1,Birds,Terrestrial
582,Aquila clanga,59.817,22.9,Birds,Terrestrial
756,Aquila fasciata,37.67,-8.002,Birds,Terrestrial
582,Aquila nipalensis,59.817,22.9,Birds,Terrestrial
756,Hieraaetus pennatus,37.67,-8.002,Birds,Terrestrial
582,Aquila pomarina,59.817,22.9,Birds,Terrestrial
702,Archilochus alexandri,33.6,-112.1,Birds,Terrestrial
632,Archilochus alexandri,33.45984,-112.0508,Birds,Terrestrial
696,Arctica islandica,56.63,3.15,Molluscs,Marine
593,Ardea alba,4.787541,-74.063794,Birds,Terrestrial
702,Ardea alba,33.6,-112.1,Birds,Terrestrial
632,Ardea alba,33.45984,-112.0508,Birds,Terrestrial
602,Ardea alba,42.416687,27.63608,Birds,Freshwater
601,Ardea alba,42.915905,28.016112,Birds,Marine
603,Ardea alba,44.10764,27.07529,Birds,Freshwater
600,Ardea alba,43.087639,25.073805,Birds,Freshwater
634,Ardea alba,62.417468,17.222083,Birds,Terrestrial
582,Ardea cinerea,59.817,22.9,Birds,Terrestrial
634,Ardea cinerea,62.417468,17.222083,Birds,Terrestrial
624,Ardea cinerea,51.300151,4.285094,Birds,Freshwater
602,Ardea cinerea,42.416687,27.63608,Birds,Freshwater
601,Ardea cinerea,42.915905,28.016112,Birds,Marine
603,Ardea cinerea,44.10764,27.07529,Birds,Freshwater
600,Ardea cinerea,43.087639,25.073805,Birds,Freshwater
702,Ardea herodias,33.6,-112.1,Birds,Terrestrial
632,Ardea herodias,33.45984,-112.0508,Birds,Terrestrial
593,Ardea herodias,4.787541,-74.063794,Birds,Terrestrial
582,Arenaria interpres,59.817,22.9,Birds,Terrestrial
634,Arenaria interpres,62.417468,17.222083,Birds,Terrestrial
624,Arenaria interpres,51.300151,4.285094,Birds,Freshwater
602,Arenaria interpres,42.416687,27.63608,Birds,Freshwater
754,Armiger crista,47.1017,-99.11116,Molluscs,Freshwater
642,Armiger crista,43.83516,-79.48421,Molluscs,Freshwater
593,Arremon assimilis,4.787541,-74.063794,Birds,Terrestrial
592,Arremon assimilis,4.67,-73.85,Birds,Terrestrial
592,Arremon brunneinucha,4.67,-73.85,Birds,Terrestrial
593,Arremon brunneinucha,4.787541,-74.063794,Birds,Terrestrial
595,Artedius corallinus,33.630494,-119.395588,Fish,Marine
699,Artedius fenestralis,48.737685,-125.118645,Fish,Marine
699,Artedius harringtoni,48.737685,-125.118645,Fish,Marine
595,Artedius harringtoni,33.630494,-119.395588,Fish,Marine
699,Artedius lateralis,48.737685,-125.118645,Fish,Marine
745,Iduna aedon,47.58333,133.5167,Birds,Terrestrial
699,Ascelichthys rhodorus,48.737685,-125.118645,Fish,Marine
593,Pseudoscops clamator,4.787541,-74.063794,Birds,Terrestrial
582,Asio flammeus,59.817,22.9,Birds,Terrestrial
745,Asio flammeus,47.58333,133.5167,Birds,Terrestrial
634,Asio flammeus,62.417468,17.222083,Birds,Terrestrial
593,Asio flammeus,4.787541,-74.063794,Birds,Terrestrial
582,Asio otus,59.817,22.9,Birds,Terrestrial
634,Asio otus,62.417468,17.222083,Birds,Terrestrial
702,Asio otus,33.6,-112.1,Birds,Terrestrial
697,Asio otus,46.54,2.26,Birds,Terrestrial
593,Asio stygius,4.787541,-74.063794,Birds,Terrestrial
623,Assiminea grayana,51.282503,4.315671,Molluscs,Freshwater
696,Astarte montagui,56.63,3.15,Molluscs,Marine
696,Astarte sulcata,56.63,3.15,Molluscs,Marine
651,Asterropteryx semipunctata,14.9,148.6,Fish,Marine
584,Pomaulax gibberosus,48.8583,-125.1595,Molluscs,Marine
702,Athene cunicularia,33.6,-112.1,Birds,Terrestrial
632,Athene cunicularia,33.45984,-112.0508,Birds,Terrestrial
697,Athene noctua,46.54,2.26,Birds,Terrestrial
756,Athene noctua,37.67,-8.002,Birds,Terrestrial
595,Atherinops affinis,33.630494,-119.395588,Fish,Marine
593,Atlapetes pallidinucha,4.787541,-74.063794,Birds,Terrestrial
592,Atlapetes pallidinucha,4.67,-73.85,Birds,Terrestrial
593,Atlapetes schistaceus,4.787541,-74.063794,Birds,Terrestrial
592,Atlapetes schistaceus,4.67,-73.85,Birds,Terrestrial
595,Atractoscion nobilis,33.630494,-119.395588,Fish,Marine
593,Aulacorhynchus prasinus,4.787541,-74.063794,Birds,Terrestrial
595,Aulorhynchus flavidus,33.630494,-119.395588,Fish,Marine
702,Auriparus flaviceps,33.6,-112.1,Birds,Terrestrial
632,Auriparus flaviceps,33.45984,-112.0508,Birds,Terrestrial
696,Axinulus croulinensis,56.63,3.15,Molluscs,Marine
702,Aythya affinis,33.6,-112.1,Birds,Terrestrial
702,Aythya americana,33.6,-112.1,Birds,Terrestrial
702,Aythya collaris,33.6,-112.1,Birds,Terrestrial
582,Aythya collaris,59.817,22.9,Birds,Terrestrial
624,Aythya ferina,51.300151,4.285094,Birds,Freshwater
582,Aythya ferina,59.817,22.9,Birds,Terrestrial
603,Aythya ferina,44.10764,27.07529,Birds,Freshwater
600,Aythya ferina,43.087639,25.073805,Birds,Freshwater
601,Aythya ferina,42.915905,28.016112,Birds,Marine
602,Aythya ferina,42.416687,27.63608,Birds,Freshwater
